Category,Fraction
Single Mother,100
Single Mother,30
Single Mother,30
Single Mother,20
Single Mother,20
Single Mother,100
Single Mother,100
Single Mother,100
Single Mother,20
Single Mother,5
Single Mother,10
Single Mother,100
Single Mother,100
Single Mother,90
Single Mother,0
Single Mother,0
Single Mother,95
Single Mother,0
Single Mother,90
Single Mother,90
Single Mother,0
Single Mother,6
Single Mother,0
Single Mother,10
Biparental Household,25
Biparental Household,15
Biparental Household,0
Biparental Household,10
Biparental Household,50
Biparental Household,20
Biparental Household,5
Biparental Household,10
Biparental Household,10
Biparental Household,0
Biparental Household,0
Biparental Household,40
Biparental Household,5
Biparental Household,15
Biparental Household,5
Biparental Household,20
Biparental Household,0
Biparental Household,10
Biparental Household,10
Biparental Household,20
Biparental Household,35
Biparental Household,7
Biparental Household,50
Biparental Household,0
Biparental Household,0
Biparental Household,5
Biparental Household,20
Biparental Household,0
Biparental Household,0
Biparental Household,100
Biparental Household,100
Biparental Household,100
Biparental Household,100
Biparental Household,100
Biparental Household,100
Biparental Household,100
Biparental Household,15
Biparental Household,0
Biparental Household,100
Biparental Household,50
Biparental Household,100
Biparental Household,100
Biparental Household,100
Biparental Household,100
Biparental Household,40
Biparental Household,40
Biparental Household,100
Biparental Household,10
Biparental Household,50
Biparental Household,5
Biparental Household,10
Biparental Household,10
Biparental Household,10
Biparental Household,10
Biparental Household,0
Biparental Household,0
Biparental Household,30
Biparental Household,25
Biparental Household,15
Biparental Household,0
Biparental Household,5
Biparental Household,50
Biparental Household,5
Biparental Household,100
Biparental Household,100
Biparental Household,100
Biparental Household,100
Biparental Household,30
Biparental Household,100
Biparental Household,0
Biparental Household,0
Biparental Household,100
Biparental Household,10
Biparental Household,0
Biparental Household,0
Biparental Household,10
Biparental Household,0
Biparental Household,15
Biparental Household,10
Biparental Household,80
Biparental Household,10
Biparental Household,15
Biparental Household,15
Biparental Household,10
Biparental Household,5
Biparental Household,100
Biparental Household,10